# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-10-31 07:34:21 EDT       (vaww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 10126000 BEAR RIVER NEAR CORINNE, UT
# -----------------------------------------------------------------------------------
#
# Data provided for site 10126000
#            TS   parameter     statistic     Description
#        143472       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	143472_00060_00003	143472_00060_00003_cd
5s	15s	20d	14n	10s
USGS	10126000	1949-10-01	1500	A
USGS	10126000	1949-10-02	1360	A
USGS	10126000	1949-10-03	1200	A
USGS	10126000	1949-10-04	1290	A
USGS	10126000	1949-10-05	1630	A
USGS	10126000	1949-10-06	1100	A
USGS	10126000	1949-10-07	690	A
USGS	10126000	1949-10-08	1960	A
USGS	10126000	1949-10-09	1590	A
USGS	10126000	1949-10-10	1620	A
USGS	10126000	1949-10-11	1970	A
USGS	10126000	1949-10-12	1690	A
USGS	10126000	1949-10-13	1320	A
USGS	10126000	1949-10-14	1040	A
USGS	10126000	1949-10-15	2260	A
USGS	10126000	1949-10-16	1810	A
USGS	10126000	1949-10-17	1090	A
USGS	10126000	1949-10-18	1750	A
USGS	10126000	1949-10-19	2530	A
USGS	10126000	1949-10-20	2650	A
USGS	10126000	1949-10-21	2140	A
USGS	10126000	1949-10-22	1760	A
USGS	10126000	1949-10-23	2340	A
USGS	10126000	1949-10-24	2350	A
USGS	10126000	1949-10-25	2300	A
USGS	10126000	1949-10-26	1760	A
USGS	10126000	1949-10-27	1870	A
USGS	10126000	1949-10-28	2040	A
USGS	10126000	1949-10-29	1750	A
USGS	10126000	1949-10-30	1380	A
USGS	10126000	1949-10-31	1360	A
USGS	10126000	1949-11-01	1620	A
USGS	10126000	1949-11-02	1640	A
USGS	10126000	1949-11-03	1740	A
USGS	10126000	1949-11-04	1630	A
USGS	10126000	1949-11-05	1720	A
USGS	10126000	1949-11-06	1340	A
USGS	10126000	1949-11-07	1700	A
USGS	10126000	1949-11-08	1880	A
USGS	10126000	1949-11-09	1790	A
USGS	10126000	1949-11-10	1850	A
USGS	10126000	1949-11-11	1770	A
USGS	10126000	1949-11-12	785	A
USGS	10126000	1949-11-13	1580	A
USGS	10126000	1949-11-14	1810	A
USGS	10126000	1949-11-15	1740	A
USGS	10126000	1949-11-16	1710	A
USGS	10126000	1949-11-17	1320	A
USGS	10126000	1949-11-18	1350	A
USGS	10126000	1949-11-19	1770	A
USGS	10126000	1949-11-20	1630	A
USGS	10126000	1949-11-21	866	A
USGS	10126000	1949-11-22	1820	A
USGS	10126000	1949-11-23	1900	A
USGS	10126000	1949-11-24	2290	A
USGS	10126000	1949-11-25	1610	A
USGS	10126000	1949-11-26	1690	A
USGS	10126000	1949-11-27	1650	A
USGS	10126000	1949-11-28	1360	A
USGS	10126000	1949-11-29	1980	A
USGS	10126000	1949-11-30	1010	A
USGS	10126000	1949-12-01	1040	A
USGS	10126000	1949-12-02	1960	A
USGS	10126000	1949-12-03	2100	A
USGS	10126000	1949-12-04	1840	A
USGS	10126000	1949-12-05	1430	A
USGS	10126000	1949-12-06	1170	A
USGS	10126000	1949-12-07	1270	A
USGS	10126000	1949-12-08	1270	A
USGS	10126000	1949-12-09	1440	A
USGS	10126000	1949-12-10	1450	A
USGS	10126000	1949-12-11	1620	A
USGS	10126000	1949-12-12	1840	A
USGS	10126000	1949-12-13	1730	A
USGS	10126000	1949-12-14	1080	A
USGS	10126000	1949-12-15	1670	A
USGS	10126000	1949-12-16	1470	A
USGS	10126000	1949-12-17	1530	A
USGS	10126000	1949-12-18	1760	A
USGS	10126000	1949-12-19	930	A
USGS	10126000	1949-12-20	1690	A
USGS	10126000	1949-12-21	2000	A
USGS	10126000	1949-12-22	2070	A
USGS	10126000	1949-12-23	2150	A
USGS	10126000	1949-12-24	1570	A
USGS	10126000	1949-12-25	1850	A
USGS	10126000	1949-12-26	1370	A
USGS	10126000	1949-12-27	1450	A
USGS	10126000	1949-12-28	1870	A
USGS	10126000	1949-12-29	1810	A
USGS	10126000	1949-12-30	1810	A
USGS	10126000	1949-12-31	1740	A
USGS	10126000	1950-01-01	1260	A
USGS	10126000	1950-01-02	650	A
USGS	10126000	1950-01-03	1410	A
USGS	10126000	1950-01-04	1420	A
USGS	10126000	1950-01-05	1640	A
USGS	10126000	1950-01-06	1250	A
USGS	10126000	1950-01-07	960	A
USGS	10126000	1950-01-08	1170	A
USGS	10126000	1950-01-09	1610	A
USGS	10126000	1950-01-10	2110	A
USGS	10126000	1950-01-11	1930	A
USGS	10126000	1950-01-12	1560	A
USGS	10126000	1950-01-13	2280	A
USGS	10126000	1950-01-14	2290	A
USGS	10126000	1950-01-15	3000	A
USGS	10126000	1950-01-16	920	A
USGS	10126000	1950-01-17	2350	A
USGS	10126000	1950-01-18	2350	A
USGS	10126000	1950-01-19	1840	A
USGS	10126000	1950-01-20	1890	A
USGS	10126000	1950-01-21	2360	A
USGS	10126000	1950-01-22	2880	A
USGS	10126000	1950-01-23	3150	A
USGS	10126000	1950-01-24	3550	A
USGS	10126000	1950-01-25	3910	A
USGS	10126000	1950-01-26	3820	A
USGS	10126000	1950-01-27	3590	A
USGS	10126000	1950-01-28	3350	A
USGS	10126000	1950-01-29	2310	A
USGS	10126000	1950-01-30	2200	A
USGS	10126000	1950-01-31	2390	A
USGS	10126000	1950-02-01	2500	A
USGS	10126000	1950-02-02	2200	A
USGS	10126000	1950-02-03	1990	A
USGS	10126000	1950-02-04	1640	A
USGS	10126000	1950-02-05	1430	A
USGS	10126000	1950-02-06	2240	A
USGS	10126000	1950-02-07	2440	A
USGS	10126000	1950-02-08	2990	A
USGS	10126000	1950-02-09	3080	A
USGS	10126000	1950-02-10	2840	A
USGS	10126000	1950-02-11	2410	A
USGS	10126000	1950-02-12	2370	A
USGS	10126000	1950-02-13	3200	A
USGS	10126000	1950-02-14	3070	A
USGS	10126000	1950-02-15	2680	A
USGS	10126000	1950-02-16	2760	A
USGS	10126000	1950-02-17	2970	A
USGS	10126000	1950-02-18	3030	A
USGS	10126000	1950-02-19	3080	A
USGS	10126000	1950-02-20	2550	A
USGS	10126000	1950-02-21	2530	A
USGS	10126000	1950-02-22	2460	A
USGS	10126000	1950-02-23	2400	A
USGS	10126000	1950-02-24	2940	A
USGS	10126000	1950-02-25	2720	A
USGS	10126000	1950-02-26	3200	A
USGS	10126000	1950-02-27	2350	A
USGS	10126000	1950-02-28	2580	A
USGS	10126000	1950-03-01	3030	A
USGS	10126000	1950-03-02	2960	A
USGS	10126000	1950-03-03	2990	A
USGS	10126000	1950-03-04	2920	A
USGS	10126000	1950-03-05	2830	A
USGS	10126000	1950-03-06	3180	A
USGS	10126000	1950-03-07	2770	A
USGS	10126000	1950-03-08	2990	A
USGS	10126000	1950-03-09	2950	A
USGS	10126000	1950-03-10	2530	A
USGS	10126000	1950-03-11	2960	A
USGS	10126000	1950-03-12	2800	A
USGS	10126000	1950-03-13	2160	A
USGS	10126000	1950-03-14	2470	A
USGS	10126000	1950-03-15	2460	A
USGS	10126000	1950-03-16	2520	A
USGS	10126000	1950-03-17	2540	A
USGS	10126000	1950-03-18	2220	A
USGS	10126000	1950-03-19	2130	A
USGS	10126000	1950-03-20	2320	A
USGS	10126000	1950-03-21	2410	A
USGS	10126000	1950-03-22	2350	A
USGS	10126000	1950-03-23	2260	A
USGS	10126000	1950-03-24	2420	A
USGS	10126000	1950-03-25	2660	A
USGS	10126000	1950-03-26	2640	A
USGS	10126000	1950-03-27	2690	A
USGS	10126000	1950-03-28	2800	A
USGS	10126000	1950-03-29	2460	A
USGS	10126000	1950-03-30	2400	A
USGS	10126000	1950-03-31	2390	A
USGS	10126000	1950-04-01	2380	A
USGS	10126000	1950-04-02	2080	A
USGS	10126000	1950-04-03	2120	A
USGS	10126000	1950-04-04	2190	A
USGS	10126000	1950-04-05	2340	A
USGS	10126000	1950-04-06	2620	A
USGS	10126000	1950-04-07	3190	A
USGS	10126000	1950-04-08	3380	A
USGS	10126000	1950-04-09	3200	A
